geohash,avgtimetopark
cbfunw7,3.167
cbfgvhv,4.838
cbfgveb,4.665
cbfgt62,5.165
cbfgccj,4.21
cbfgds6,5.56
cbfuhs4,4.79
cbfgu8b,3.138
cbfu5tm,4.901
cbfgedp,4.422
cbfun57,3.569
cbfgvxb,2.724
cbfujhy,4.069
cbfgz5e,4.16
cbfgv7y,5.368
cbfgtr3,4.514
cbfgzg5,5.818
cbfgz5c,3.139
cbfgu5e,6.567
cbfunub,3.946
cbfgvk3,4.025
cbfgujy,4.768
cbfgz09,6.463
cbfgv9d,4.389
cbfgthp,5.182
cbfgqr0,4.311
cbfgeyz,4.186
cbfgue3,6.04
cbfguyg,6.906
cbfu5uu,5.451
cbfgz15,5.489
cbfgu69,3.269
cbfgygz,5.69
cbfunfv,4.853
cbfgvqc,3.214
cbfgyjj,4.585
cbfgv9t,6.218
cbfgdy1,2.717
cbfgu1g,5.194
cbfgym4,4.123
cbfgv90,6.519
cbfgzek,5.414
cbfgv6t,7.139
cbfgy2b,3.354
cbfgzhv,2.49
cbfgmqb,3.551
cbfgurv,3.715
cbfgv9y,4.8
cbfgve4,5.765
cbfguut,8.54
cbfgu1e,4.364
cbfgqxe,2.744
cbfgu91,4.915
cbfgec2,4.206
cbfunsr,4.63
cbfup71,2.808
cbfujfn,3.064
cbfgv9s,6.535
cbfgvem,4.772
cbfgvhp,7.092
cbfgvwr,3.078
cbfgjq7,3.467
cbfgv9f,5.09
cbfgdxu,2.5
cbfgv1x,4.7
cbfujmw,3.054
cbfgqqb,3.104
cbfgqx0,5.039
cbfuj51,3.656
cbfgznx,3.039
cbfg7vr,2.768
cbfujmu,7.246
cbfgkjq,3.531
cbfujp8,2.816
cbfgf2p,4.351
cbfgz7b,8.404
cbfgv3c,4.901
cbfgv2q,4.992
cbfgu68,3.591
cbfgz7m,4.004
cbfgtxb,3.026
cbfgqnz,4.204
cbfgx8j,5.933
cbfgc0x,5.905
cbfgu45,5.952
cbfgz5x,3.363
cbfgsvr,1.663
cbfgtr2,4.307
cbfgx5y,5.912
cbfu5e8,5.969
cbfguv1,3.266
cbfuhu2,2.804
cbfgtrb,3.635
cbfgg8v,3
cbfgzbs,3.389
cbfgupd,3.276
cbfgz5t,4.851
cbfgvhh,4.355
cbfgv9z,3.32
cbfgkn2,4.431
cbfgucw,3.293
cbfguwg,4.17
cbfgv04,3.446
cbfgqr3,4.35
cbfgv1g,4.042
cbfgjnk,3.369
cbfgucq,3.942
cbfgsgw,5.75
cbfgv24,5.373
cbfguv2,5.337
cbfgkz1,5.208
cbfgm0j,4.243
cbfgv7q,5.753
cbfuj54,4.703
cbfgdzs,3.85
cbfgdhm,4.072
cbfgt21,4.491
cbfgz5d,5.448
cbfgv3q,5.786
cbfgtts,3.963
cbfgu1p,4.773
cbfgk06,4.147
cbfgu4t,6.891
cbfgvb8,5.214
cbfgv6v,6.042
cbfgvh7,5.118
cbfgv7w,6.504
cbfgv86,6.153
cbfgdst,4.538
cbfgujg,2.281
cbfgwk6,3.634
cbfgjn5,7.008
cbfgtrx,4.933
cbfgw5u,2.635
cbfunvw,2.118
cbfun8h,2.159
cbfuhdp,3.655
cbfgm5p,4.499
cbfujmt,3.919
cbfgvhg,6.415
cbfgrxg,3.506
cbfun5e,4.344
cbfgy4v,3.948
cbfujm3,2.816
cbfu5du,4.982
cbfunfu,3.771
cbfgxs4,6.14
cbfgdz9,2.76
cbfgkju,4.072
cbfgc89,6.304
cbfgdzm,3.433
cbfgv6d,4.849
cbfup1k,3.072
cbfgvkn,5.09
cbfgz7d,5.081
cbfujm6,4.217
cbfguj6,6.038
cbfgv7m,4.818
cbfgze3,5.708
cbfgey5,4.077
cbfgu9m,4.269
cbfuj5w,4.761
cbfgvhk,5.019
cbfgynw,2.238
cbfgvyx,2.85
cbfupuj,4.519
cbfguw4,3.016
cbfgtn3,3.6
cbfgrxs,5.303
cbfgv4m,5.16
cbfgc8g,4.983
cbfgk0n,3.019
cbfgv6k,7.291
cbfgxnd,3.648
cbfgf0x,5.315
cbfuj2q,3.81
cbfgv7h,4.94
cbfgr5e,3.868
cbfgu4x,3.443
cbfgvz2,5.774
cbfgvwq,4.147
cbfgwjw,3.841
cbfgz7e,4.177
cbfgvdf,6.511
cbfgx8n,4.761
cbfgs59,5.547
cbfgtns,4.001
cbfgv3w,7.218
cbfun46,2.663
cbfgv99,5.414
cbfgwgx,3.52
cbfguq9,4.215
cbfgv67,6.453
cbfgv27,5.024
cbfgv3t,5.838
cbfgu4v,3.802
cbfgq54,3.475
cbfgjph,3.705
cbfunwd,3.046
cbfgz3s,3.843
cbfgv78,5.955
cbfgym1,3.779
cbfuhh6,2.342
cbfgv9c,6.242
cbfgvch,4.891
cbfunu2,4.352
cbg5bjg,5.71
cbfgzht,4.928
cbfgv71,4.394
cbfgzgp,4.602
cbfgkn6,6.079
cbfgyu3,5.684
cbfgv4x,3.494
cbfgv4j,4.272
cbfgv6y,4.956
cbfgvck,3.089
cbfg7vm,3.466
cbfgv3n,5.114
cbfgv6m,6.4
cbfgv6g,5.014
cbg5b5f,2.88
cbg5bju,2.73
cbfgzjn,3.342
cbfgecv,3.628
cbfgz00,6.17
cbfguqd,2.614
cbfgvqw,7.746
cbfunu6,3.021
cbfgv79,4.005
cbfgvhw,3.959
cbfuhtb,4.665
cbfgv20,3.044
cbfgv65,5.69
cbfund1,3.473
cbfgvuf,5.182
cbfgw8c,3.958
cbfgmk8,4.285
cbfujme,4.59
cbfgv69,5.506
cbfgvht,4.417
cbfgv7b,3.586
cbg5b55,3.703
cbfgvbd,3.53
cbfgcfk,2.218
cbfgyqm,3.388
cbfgtkp,3.425
cbfup3f,4.095
cbfgvd1,6.182
cbfgvhd,6.073
cbfgg9x,3.224
cbfgknn,4.669
cbfup1z,5.019
cbfgvhu,6.473
cbfgwhu,2.165
cbfgtm7,2.906
cbfgg81,3.423
cbfgvc7,3.64
cbfgv3u,5.604
cbfgt2c,4.947
cbfgw7v,2.928
cbfujt1,3.458
cbfgv2m,5.082
cbfgvs2,5.628
cbfgu5q,3.595
cbfgv3s,4.979
cbfgv7p,5.34
cbfgved,5.417
cbfgv60,5.891
cbfgvd2,7.633
cbfgk1w,3.191
cbfgvbf,4.416
cbfgvbg,5.558
cbfgdh8,3.957
cbfgv4r,4.799
cbfgv74,4.455
cbfgmnp,3.644
cbfgv2k,3.968
cbfgv3x,4.969
cbfgqjm,5.844
cbfgv3y,6.632
cbfgv6c,8.618
cbfggfd,5.44
cbfgu5j,5.506
cbfgz3e,5.003
cbfgsev,4.93
cbfunu3,4.508
cbfgv73,4.718
cbfgdz6,2.086
cbfgv4k,3.402
cbfundf,3.961
