geohash,avgtimetopark
dpxjz4d,2.198
dpxmckm,1.986
dpxnns3,2.992
dpxmfte,4.549
dpxq06n,2.972
dpxjy56,4.464
dpxnn6x,5.967
dpxmbtx,8.772
dpxnn6c,4.637
dpxnnf2,3.397
dpxnn4v,3.501
dpxnpbz,2.712
dpxnn6t,3.628
dpxq02h,2.962
dpxnj85,3.127
dpxnmty,1.997
dpxnp1t,2.953
dpxjz64,3.507
dpxmbyy,7.105
dpxjdyd,2.041
dpxnheu,3.863
dpxnnd6,4.522
dpxmbvm,2.819
dpxnn96,3.365
dpxjxzn,2.553
dpxnhcs,3.085
dpxjzjn,2.68
dpxmcjf,2.062
dpxjzm2,2.435
dpxjuvh,3.813
dpxjz4e,2.757
dpxnne4,3.877
dpxmf5n,1.923
dpxjy5k,3.452
dpxmbgy,2.282
dpxjgfb,1.241
dpxnned,4.522
dpxnn1w,2.567
dpxnpcn,4.086
dpxnn8g,2.931
dpxjvmd,3.953
dpxnp12,3.618
dpxnnd4,3.906
dpxnhsq,2.96
dpxnhkr,3.783
dpxnp39,2.066
dpxjyp1,1.257
dpxmbzj,1.797
dpxjt3e,6.249
dpxmbus,1.709
dpxmcp0,4.625
dpxnn6w,4.999
dpxnn6v,4.708
dpxnne6,4.64
dpxntbw,3.049
dpxmcpe,3.79
dpxmbuu,2.453
dpxnn4y,2.886
dpxmbv7,3.099
dpxmbsq,2.865
dpxjzzt,2.274
dpxjyj5,1.49
dpxjyvb,4.633
dpxnph1,2.615
dpxjyjx,3.752
dpxmbpg,1.898
dpxjy6s,3.74
dpxjv7t,3.389
dpxjy7q,3.074
dpxnp21,1.723
dpxq01u,3.991
dpxnnsh,4.026
dpxnjfz,3.399
dpxnncc,3.082
dpxnp6q,3.987
dpxnp6m,3.65
dpxnneu,4.182
dpxjvmp,4.979
dpxnj49,3.018
dpxnn1z,3.218
dpxnn5e,2.956
dpxjyum,3.484
